time,u,v,w,p,q,r,phi_deg,theta_deg,psi_deg,airspeed,alpha_deg
1.083641964706239236e+02,1.037248856230532112e+02,2.781259972427368304e-02,-3.552300631405279852e+00,5.213064236881850399e-04,-7.463306001710963791e-05,2.461450467053901206e-03,1.671439325512121377e+00,-4.814370195406198150e+00,1.400116472847252425e+01,1.037856999342012188e+02,-1.961460990575762731e+00
1.083670375850386165e+02,1.037255823807805513e+02,2.781180305112619308e-02,-3.552428393357615732e+00,5.213505750461607142e-04,-7.414191273293126183e-05,2.461509937689256283e-03,1.671490485380853430e+00,-4.814393986811342785e+00,1.400156631089542536e+01,1.037864006564367543e+02,-1.961518315384785938e+00
1.083706818911026062e+02,1.037264759952593920e+02,2.781078299982971125e-02,-3.552592251537137980e+00,5.214071752646796043e-04,-7.351198779155008827e-05,2.461586235716704818e-03,1.671556117095524208e+00,-4.814424388063515359e+00,1.400208143951940443e+01,1.037872993556555343e+02,-1.961591834808186219e+00
1.083747625049477108e+02,1.037274764376026752e+02,2.780964328357967558e-02,-3.552775697362113405e+00,5.214705080117314293e-04,-7.280675313925397195e-05,2.461671688197457266e-03,1.671629618169211851e+00,-4.814458274283760275e+00,1.400265826448449857e+01,1.037883054907702274e+02,-1.961674141156127815e+00
1.083755275122826447e+02,1.037276639754803398e+02,2.780942990600065307e-02,-3.552810085084339153e+00,5.214823760754523337e-04,-7.267455604243402306e-05,2.461687710610015872e-03,1.671643399057445967e+00,-4.814464608857191408e+00,1.400276640669915018e+01,1.037884940958063567e+02,-1.961689569652375953e+00
1.083758857338651467e+02,1.037277517897586563e+02,2.780933002140574192e-02,-3.552826187062598784e+00,5.214879328438915993e-04,-7.261265202813393395e-05,2.461695213501909583e-03,1.671649852232138356e+00,-4.814467573103168085e+00,1.400281704556656948e+01,1.037885824097819238e+02,-1.961696793992665055e+00
1.083762439554476487e+02,1.037278396027459735e+02,2.780923015682629576e-02,-3.552842288796695946e+00,5.214934892555163522e-04,-7.255074878380063103e-05,2.461702716554999438e-03,1.671656305502190243e+00,-4.814470536089319630e+00,1.400286768462554221e+01,1.037886707224605516e+02,-1.961704018210346678e+00
1.083766917324257690e+02,1.037279493671645696e+02,2.780910535424839167e-02,-3.552862415620947623e+00,5.215004342682786091e-04,-7.247337061168758823e-05,2.461712095598031242e-03,1.671664372223844675e+00,-4.814474238050404864e+00,1.400293098371863820e+01,1.037887811114849228e+02,-1.961713048310025798e+00
1.083772514536484266e+02,1.037280865698508734e+02,2.780894939500411223e-02,-3.552887573614717631e+00,5.215091147502222066e-04,-7.237664964211446244e-05,2.461723819755970866e-03,1.671674455835409079e+00,-4.814478862733674092e+00,1.400301010800592394e+01,1.037889190949153715e+02,-1.961724335665202101e+00
1.083774910594769523e+02,1.037281453027033535e+02,2.780888264680448849e-02,-3.552898343082974364e+00,5.215128304303601279e-04,-7.233524717448308844e-05,2.461728838761472436e-03,1.671678772505614363e+00,-4.814480841531013411e+00,1.400304397972573689e+01,1.037889781619848861e+02,-1.961729167472110014e+00
